Column,DataType,Missing,Unique
Unnamed: 0,object,0,41
Unnamed: 1,object,0,34
Unnamed: 2,object,0,48
Unnamed: 3,object,0,54
Unnamed: 4,object,348,50
Unnamed: 5,object,1206,38
Unnamed: 6,object,1986,32
Unnamed: 7,object,2652,26
Unnamed: 8,object,2976,21
Unnamed: 9,object,3228,22
Unnamed: 10,object,3408,21
Unnamed: 11,object,3726,18
Unnamed: 12,object,4176,11
Unnamed: 13,object,4416,8
Unnamed: 14,object,4614,4
Unnamed: 15,object,4680,3
Unnamed: 16,object,4728,3
Unnamed: 17,object,4848,1
